country,year,sector,investment_usd,sector_label,log_investment_usd,investment_tier,industry_group,period,investment_bn
China,2022,fintech,55554118,FinTech,7.744716256947283,Low,Financial Services,2021-2023,0.055554118
China,2023,fintech,35571824,FinTech,7.551106134874428,Low,Financial Services,2021-2023,0.035571824
China,2018,fitness_and_wellness,53955074,Fitness & Wellness,7.732032292514441,Low,Healthcare,2017-2018,0.053955074
China,2018,insurtech,64746089,InsurTech,7.811213539903597,Low,Financial Services,2017-2018,0.064746089
China,2019,insurtech,21197879,InsurTech,7.326292408821306,Low,Financial Services,2019-2020,0.021197879
China,2020,insurtech,73288495,InsurTech,7.865035803424491,Low,Financial Services,2019-2020,0.073288495
China,2021,insurtech,180000000,InsurTech,8.255272505103306,Medium,Financial Services,2021-2023,0.18
China,2022,insurtech,166662355,InsurTech,8.22183751427278,Medium,Financial Services,2021-2023,0.166662355
China,2018,legal_tech,10791015,LegalTech,7.03306229622761,Low,Professional Services,2017-2018,0.010791015
China,2019,legal_tech,10598939,LegalTech,7.025262392669686,Low,Professional Services,2019-2020,0.010598939
China,2020,legal_tech,41879140,LegalTech,7.621997754738197,Low,Professional Services,2019-2020,0.04187914
China,2021,legal_tech,30000000,LegalTech,7.477121254719663,Low,Professional Services,2021-2023,0.03
China,2023,legal_tech,8892956,LegalTech,6.949046143546466,Low,Professional Services,2021-2023,0.008892956
China,2017,manufacturing,11054594,Manufacturing,7.043542796955663,Low,Manufacturing,2017-2018,0.011054594
China,2018,manufacturing,205029283,Manufacturing,8.311815892944024,Medium,Manufacturing,2017-2018,0.205029283
China,2019,manufacturing,31796818,Manufacturing,7.502383661047774,Low,Manufacturing,2019-2020,0.031796818
China,2020,manufacturing,314093552,Manufacturing,8.49705902089528,Medium,Manufacturing,2019-2020,0.314093552
China,2021,manufacturing,220000000,Manufacturing,8.342422680822207,Medium,Manufacturing,2021-2023,0.22
China,2022,manufacturing,305547652,Manufacturing,8.485078950705619,Medium,Manufacturing,2021-2023,0.305547652
China,2023,manufacturing,471326668,Manufacturing,8.673322013147255,Medium,Manufacturing,2021-2023,0.471326668
China,2017,marketing__digital_ads,22109188,Marketing & Digital Ads,7.344572792619644,Low,Media & Marketing,2017-2018,0.022109188
China,2018,marketing__digital_ads,21582030,Marketing & Digital Ads,7.33409229189159,Low,Media & Marketing,2017-2018,0.02158203
China,2019,marketing__digital_ads,31796818,Marketing & Digital Ads,7.502383661047774,Low,Media & Marketing,2019-2020,0.031796818
China,2020,marketing__digital_ads,125637421,Marketing & Digital Ads,8.099119012914588,Medium,Media & Marketing,2019-2020,0.125637421
China,2021,marketing__digital_ads,80000000,Marketing & Digital Ads,7.903089986991944,Low,Media & Marketing,2021-2023,0.08
China,2022,marketing__digital_ads,37036079,Marketing & Digital Ads,7.568625001800354,Low,Media & Marketing,2021-2023,0.037036079
China,2023,marketing__digital_ads,364611196,Marketing & Digital Ads,8.561830000266202,Medium,Media & Marketing,2021-2023,0.364611196
China,2017,medical_and_healthcare,99491348,Medical & Healthcare,7.9977853151252845,Low,Healthcare,2017-2018,0.099491348
China,2018,medical_and_healthcare,194238268,Medical & Healthcare,8.288334796859145,Medium,Healthcare,2017-2018,0.194238268
China,2019,medical_and_healthcare,264973486,Medical & Healthcare,8.423202419370845,Medium,Healthcare,2019-2020,0.264973486
China,2020,medical_and_healthcare,1046978507,Medical & Healthcare,9.019937766313886,High,Healthcare,2019-2020,1.046978507
China,2021,medical_and_healthcare,2670000000,Medical & Healthcare,9.426511261364576,High,Healthcare,2021-2023,2.67
China,2022,medical_and_healthcare,1333298843,Medical & Healthcare,9.124927502241912,High,Healthcare,2021-2023,1.333298843
China,2023,medical_and_healthcare,426861888,Medical & Healthcare,8.630287380922054,Medium,Healthcare,2021-2023,0.426861888
China,2017,nlp__customer_support,254255666,NLP & Customer Support,8.405270639805662,Medium,Technology,2017-2018,0.254255666
China,2018,nlp__customer_support,1564697158,NLP & Customer Support,9.194430293744094,High,Technology,2017-2018,1.564697158
China,2019,nlp__customer_support,561743791,NLP & Customer Support,8.749538280825318,High,Technology,2019-2020,0.561743791
China,2020,nlp__customer_support,774764095,NLP & Customer Support,8.889169485943963,High,Technology,2019-2020,0.774764095
China,2021,nlp__customer_support,2980000000,NLP & Customer Support,9.474216264076254,High,Technology,2021-2023,2.98
China,2022,nlp__customer_support,648131382,NLP & Customer Support,8.811663050151612,High,Technology,2021-2023,0.648131382
China,2023,nlp__customer_support,533577360,NLP & Customer Support,8.72719739393011,High,Technology,2021-2023,0.53357736
China,2017,quantum_computing,77382159,Quantum Computing,7.888640842582253,Low,Technology,2017-2018,0.077382159
China,2021,quantum_computing,50000000,Quantum Computing,7.698970004336019,Low,Technology,2021-2023,0.05
China,2022,quantum_computing,138885296,Quantum Computing,8.142656268746322,Medium,Technology,2021-2023,0.138885296
China,2017,retail,66327565,Retail,7.821694053887029,Low,Retail & Consumer,2017-2018,0.066327565
China,2018,retail,64746089,Retail,7.811213539903597,Low,Retail & Consumer,2017-2018,0.064746089
China,2019,retail,74192576,Retail,7.870360450244776,Low,Retail & Consumer,2019-2020,0.074192576
China,2020,retail,397851833,Retail,8.59972136330184,Medium,Retail & Consumer,2019-2020,0.397851833
China,2021,retail,90000000,Retail,7.954242509439325,Low,Retail & Consumer,2021-2023,0.09
China,2022,retail,46295099,Retail,7.665535017153661,Low,Retail & Consumer,2021-2023,0.046295099
China,2023,retail,106715472,Retail,8.028227389594091,Low,Retail & Consumer,2021-2023,0.106715472
European Union and United Kingdom,2022,agritech,92590197,AgriTech,7.96656500812714,Low,Agriculture,2021-2023,0.092590197
European Union and United Kingdom,2023,agritech,115608428,AgriTech,8.062989495853303,Medium,Agriculture,2021-2023,0.115608428
European Union and United Kingdom,2019,ai_infrastructure_research_governance,116588334,AI Infrastructure,8.066655096453037,Medium,Technology,2019-2020,0.116588334
European Union and United Kingdom,2020,ai_infrastructure_research_governance,10469785,AI Infrastructure,7.019937763410234,Low,Technology,2019-2020,0.010469785
European Union and United Kingdom,2021,ai_infrastructure_research_governance,260000000,AI Infrastructure,8.414973347970818,Medium,Technology,2021-2023,0.26
European Union and United Kingdom,2022,ai_infrastructure_research_governance,18518039,AI Infrastructure,7.267594994410118,Low,Technology,2021-2023,0.018518039
European Union and United Kingdom,2023,ai_infrastructure_research_governance,8892956,AI Infrastructure,6.949046143546466,Low,Technology,2021-2023,0.008892956
European Union and United Kingdom,2019,ar_vr,10598939,AR/VR,7.025262392669686,Low,Technology,2019-2020,0.010598939
European Union and United Kingdom,2021,ar_vr,10000000,AR/VR,7.0,Low,Technology,2021-2023,0.01
European Union and United Kingdom,2022,ar_vr,18518039,AR/VR,7.267594994410118,Low,Technology,2021-2023,0.018518039
European Union and United Kingdom,2023,ar_vr,35571824,AR/VR,7.551106134874428,Low,Technology,2021-2023,0.035571824
European Union and United Kingdom,2017,av,33163783,Autonomous Vehicles,7.52066406477077,Low,Transportation & Logistics,2017-2018,0.033163783
European Union and United Kingdom,2019,av,42395758,Autonomous Vehicles,7.627322404485287,Low,Transportation & Logistics,2019-2020,0.042395758
European Union and United Kingdom,2020,av,136107206,Autonomous Vehicles,8.133881118907897,Medium,Transportation & Logistics,2019-2020,0.136107206
European Union and United Kingdom,2021,av,120000000,Autonomous Vehicles,8.079181246047625,Medium,Transportation & Logistics,2021-2023,0.12
European Union and United Kingdom,2022,av,398137849,Autonomous Vehicles,8.600033465779275,Medium,Transportation & Logistics,2021-2023,0.398137849
European Union and United Kingdom,2023,av,17785912,Autonomous Vehicles,7.250076139210447,Low,Transportation & Logistics,2021-2023,0.017785912
European Union and United Kingdom,2017,creative__music__video_content,11054594,Creative Content,7.043542796955663,Low,Media & Marketing,2017-2018,0.011054594
European Union and United Kingdom,2019,creative__music__video_content,21197879,Creative Content,7.326292408821306,Low,Media & Marketing,2019-2020,0.021197879
European Union and United Kingdom,2020,creative__music__video_content,41879140,Creative Content,7.621997754738197,Low,Media & Marketing,2019-2020,0.04187914
European Union and United Kingdom,2021,creative__music__video_content,150000000,Creative Content,8.176091259055681,Medium,Media & Marketing,2021-2023,0.15
European Union and United Kingdom,2022,creative__music__video_content,240734513,Creative Content,8.381538357541189,Medium,Media & Marketing,2021-2023,0.240734513
European Union and United Kingdom,2023,creative__music__video_content,346825284,Creative Content,8.540110750572966,Medium,Media & Marketing,2021-2023,0.346825284
European Union and United Kingdom,2017,cybersecurity__data_protection,88436753,Cybersecurity,7.946632788858398,Low,Technology,2017-2018,0.088436753
European Union and United Kingdom,2018,cybersecurity__data_protection,75537104,Cybersecurity,7.878160330492447,Low,Technology,2017-2018,0.075537104
European Union and United Kingdom,2020,cybersecurity__data_protection,104697851,Cybersecurity,8.019937767558309,Low,Technology,2019-2020,0.104697851
European Union and United Kingdom,2021,cybersecurity__data_protection,70000000,Cybersecurity,7.845098040014257,Low,Technology,2021-2023,0.07
European Union and United Kingdom,2022,cybersecurity__data_protection,9259020,Cybersecurity,6.966565022198645,Low,Technology,2021-2023,0.00925902
European Union and United Kingdom,2023,cybersecurity__data_protection,480219624,Cybersecurity,8.681439903369434,Medium,Technology,2021-2023,0.480219624
European Union and United Kingdom,2017,data_management__processing,33163783,Data Management,7.52066406477077,Low,Technology,2017-2018,0.033163783
European Union and United Kingdom,2018,data_management__processing,53955074,Data Management,7.732032292514441,Low,Technology,2017-2018,0.053955074
European Union and United Kingdom,2019,data_management__processing,10598939,Data Management,7.025262392669686,Low,Technology,2019-2020,0.010598939
European Union and United Kingdom,2020,data_management__processing,115167636,Data Management,8.061330452339437,Medium,Technology,2019-2020,0.115167636
European Union and United Kingdom,2021,data_management__processing,150000000,Data Management,8.176091259055681,Medium,Technology,2021-2023,0.15
European Union and United Kingdom,2022,data_management__processing,314806671,Data Management,8.498043926824867,Medium,Technology,2021-2023,0.314806671
European Union and United Kingdom,2023,data_management__processing,160073208,Data Management,8.204318648649773,Medium,Technology,2021-2023,0.160073208
European Union and United Kingdom,2018,drones,21582030,Drones,7.33409229189159,Low,Transportation & Logistics,2017-2018,0.02158203
European Union and United Kingdom,2019,drones,31796818,Drones,7.502383661047774,Low,Transportation & Logistics,2019-2020,0.031796818
European Union and United Kingdom,2022,drones,9259020,Drones,6.966565022198645,Low,Transportation & Logistics,2021-2023,0.00925902
European Union and United Kingdom,2023,drones,17785912,Drones,7.250076139210447,Low,Transportation & Logistics,2021-2023,0.017785912
European Union and United Kingdom,2017,ed_tech,33163783,EdTech,7.52066406477077,Low,Education,2017-2018,0.033163783
European Union and United Kingdom,2018,ed_tech,10791015,EdTech,7.03306229622761,Low,Education,2017-2018,0.010791015
European Union and United Kingdom,2019,ed_tech,31796818,EdTech,7.502383661047774,Low,Education,2019-2020,0.031796818
European Union and United Kingdom,2020,ed_tech,83758281,EdTech,7.923027755587271,Low,Education,2019-2020,0.083758281
European Union and United Kingdom,2021,ed_tech,170000000,EdTech,8.230448921378274,Medium,Education,2021-2023,0.17
European Union and United Kingdom,2022,ed_tech,111108237,EdTech,8.045746256520015,Low,Education,2021-2023,0.111108237
European Union and United Kingdom,2023,ed_tech,133394340,EdTech,8.125137402602148,Medium,Education,2021-2023,0.13339434
European Union and United Kingdom,2018,energy__oil__and_gas,32373045,Energy & Oil/Gas,7.510183550947271,Low,Energy,2017-2018,0.032373045
European Union and United Kingdom,2019,energy__oil__and_gas,31796818,Energy & Oil/Gas,7.502383661047774,Low,Energy,2019-2020,0.031796818
European Union and United Kingdom,2020,energy__oil__and_gas,52348925,Energy & Oil/Gas,7.718907767746253,Low,Energy,2019-2020,0.052348925
European Union and United Kingdom,2021,energy__oil__and_gas,100000000,Energy & Oil/Gas,8.0,Low,Energy,2021-2023,0.1
European Union and United Kingdom,2022,energy__oil__and_gas,148144316,Energy & Oil/Gas,8.170684993128315,Medium,Energy,2021-2023,0.148144316
European Union and United Kingdom,2023,energy__oil__and_gas,240109812,Energy & Oil/Gas,8.380409907705454,Medium,Energy,2021-2023,0.240109812
European Union and United Kingdom,2018,entertainment,21582030,Entertainment,7.33409229189159,Low,Media & Marketing,2017-2018,0.02158203
European Union and United Kingdom,2019,entertainment,63593637,Entertainment,7.803413663540969,Low,Media & Marketing,2019-2020,0.063593637
European Union and United Kingdom,2020,entertainment,20939570,Entertainment,7.3209677590742155,Low,Media & Marketing,2019-2020,0.02093957
European Union and United Kingdom,2021,entertainment,110000000,Entertainment,8.041392685158225,Low,Media & Marketing,2021-2023,0.11
European Union and United Kingdom,2022,entertainment,83331178,Entertainment,7.920807521214633,Low,Media & Marketing,2021-2023,0.083331178
European Union and United Kingdom,2023,entertainment,160073208,Entertainment,8.204318648649773,Medium,Media & Marketing,2021-2023,0.160073208
European Union and United Kingdom,2017,facial_recognition,11054594,Facial Recognition,7.043542796955663,Low,Technology,2017-2018,0.011054594
European Union and United Kingdom,2019,facial_recognition,21197879,Facial Recognition,7.326292408821306,Low,Technology,2019-2020,0.021197879
European Union and United Kingdom,2021,facial_recognition,20000000,Facial Recognition,7.301029995663981,Low,Technology,2021-2023,0.02
European Union and United Kingdom,2022,facial_recognition,37036079,Facial Recognition,7.568625001800354,Low,Technology,2021-2023,0.037036079
European Union and United Kingdom,2023,facial_recognition,8892956,Facial Recognition,6.949046143546466,Low,Technology,2021-2023,0.008892956
European Union and United Kingdom,2017,fintech,132655130,FinTech,8.12272404955101,Medium,Financial Services,2017-2018,0.13265513
European Union and United Kingdom,2018,fintech,21582030,FinTech,7.33409229189159,Low,Financial Services,2017-2018,0.02158203
European Union and United Kingdom,2019,fintech,116588334,FinTech,8.066655096453037,Medium,Financial Services,2019-2020,0.116588334
European Union and United Kingdom,2020,fintech,481610113,FinTech,8.682695597797075,Medium,Financial Services,2019-2020,0.481610113
European Union and United Kingdom,2021,fintech,310000000,FinTech,8.491361693834273,Medium,Financial Services,2021-2023,0.31
European Union and United Kingdom,2022,fintech,166662355,FinTech,8.22183751427278,Medium,Financial Services,2021-2023,0.166662355
European Union and United Kingdom,2023,fintech,595828051,FinTech,8.7751209455184,High,Financial Services,2021-2023,0.595828051
European Union and United Kingdom,2019,fitness_and_wellness,10598939,Fitness & Wellness,7.025262392669686,Low,Healthcare,2019-2020,0.010598939
European Union and United Kingdom,2021,fitness_and_wellness,20000000,Fitness & Wellness,7.301029995663981,Low,Healthcare,2021-2023,0.02
European Union and United Kingdom,2022,fitness_and_wellness,9259020,Fitness & Wellness,6.966565022198645,Low,Healthcare,2021-2023,0.00925902
European Union and United Kingdom,2023,fitness_and_wellness,17785912,Fitness & Wellness,7.250076139210447,Low,Healthcare,2021-2023,0.017785912
European Union and United Kingdom,2017,insurtech,44218377,InsurTech,7.645602798105209,Low,Financial Services,2017-2018,0.044218377
European Union and United Kingdom,2018,insurtech,10791015,InsurTech,7.03306229622761,Low,Financial Services,2017-2018,0.010791015
European Union and United Kingdom,2019,insurtech,95390455,InsurTech,7.979504920320245,Low,Financial Services,2019-2020,0.095390455
European Union and United Kingdom,2020,insurtech,83758281,InsurTech,7.923027755587271,Low,Financial Services,2019-2020,0.083758281
European Union and United Kingdom,2021,insurtech,130000000,InsurTech,8.113943352306837,Medium,Financial Services,2021-2023,0.13
European Union and United Kingdom,2022,insurtech,101849217,InsurTech,8.007957694564594,Low,Financial Services,2021-2023,0.101849217
European Union and United Kingdom,2023,insurtech,88929560,InsurTech,7.949046143546466,Low,Financial Services,2021-2023,0.08892956
European Union and United Kingdom,2017,legal_tech,22109188,LegalTech,7.344572792619644,Low,Professional Services,2017-2018,0.022109188
European Union and United Kingdom,2018,legal_tech,32373045,LegalTech,7.510183550947271,Low,Professional Services,2017-2018,0.032373045
European Union and United Kingdom,2019,legal_tech,105989395,LegalTech,8.025262413157325,Low,Professional Services,2019-2020,0.105989395
European Union and United Kingdom,2020,legal_tech,73288495,LegalTech,7.865035803424491,Low,Professional Services,2019-2020,0.073288495
European Union and United Kingdom,2021,legal_tech,160000000,LegalTech,8.204119982655925,Medium,Professional Services,2021-2023,0.16
European Union and United Kingdom,2022,legal_tech,120367257,LegalTech,8.080508363681247,Medium,Professional Services,2021-2023,0.120367257
European Union and United Kingdom,2023,legal_tech,26678868,LegalTech,7.426167398266128,Low,Professional Services,2021-2023,0.026678868
European Union and United Kingdom,2017,manufacturing,22109188,Manufacturing,7.344572792619644,Low,Manufacturing,2017-2018,0.022109188
European Union and United Kingdom,2018,manufacturing,10791015,Manufacturing,7.03306229622761,Low,Manufacturing,2017-2018,0.010791015
European Union and United Kingdom,2019,manufacturing,31796818,Manufacturing,7.502383661047774,Low,Manufacturing,2019-2020,0.031796818
European Union and United Kingdom,2020,manufacturing,10469785,Manufacturing,7.019937763410234,Low,Manufacturing,2019-2020,0.010469785
European Union and United Kingdom,2021,manufacturing,130000000,Manufacturing,8.113943352306837,Medium,Manufacturing,2021-2023,0.13
European Union and United Kingdom,2022,manufacturing,74072158,Manufacturing,7.869654997464335,Low,Manufacturing,2021-2023,0.074072158
European Union and United Kingdom,2023,manufacturing,80036604,Manufacturing,7.903288652985791,Low,Manufacturing,2021-2023,0.080036604
European Union and United Kingdom,2017,marketing__digital_ads,33163783,Marketing & Digital Ads,7.52066406477077,Low,Media & Marketing,2017-2018,0.033163783
European Union and United Kingdom,2018,marketing__digital_ads,21582030,Marketing & Digital Ads,7.33409229189159,Low,Media & Marketing,2017-2018,0.02158203
European Union and United Kingdom,2019,marketing__digital_ads,52994697,Marketing & Digital Ads,7.724232413395816,Low,Media & Marketing,2019-2020,0.052994697
European Union and United Kingdom,2020,marketing__digital_ads,62818710,Marketing & Digital Ads,7.798089013793878,Low,Media & Marketing,2019-2020,0.06281871
European Union and United Kingdom,2021,marketing__digital_ads,160000000,Marketing & Digital Ads,8.204119982655925,Medium,Media & Marketing,2021-2023,0.16
European Union and United Kingdom,2022,marketing__digital_ads,46295099,Marketing & Digital Ads,7.665535017153661,Low,Media & Marketing,2021-2023,0.046295099
European Union and United Kingdom,2023,marketing__digital_ads,71143648,Marketing & Digital Ads,7.852136130538409,Low,Media & Marketing,2021-2023,0.071143648
European Union and United Kingdom,2017,medical_and_healthcare,66327565,Medical & Healthcare,7.821694053887029,Low,Healthcare,2017-2018,0.066327565
European Union and United Kingdom,2018,medical_and_healthcare,129492179,Medical & Healthcare,8.112243538921406,Medium,Healthcare,2017-2018,0.129492179
European Union and United Kingdom,2019,medical_and_healthcare,233176668,Medical & Healthcare,8.367685092117018,Medium,Healthcare,2019-2020,0.233176668
European Union and United Kingdom,2020,medical_and_healthcare,293153982,Medical & Healthcare,8.467095797715364,Medium,Healthcare,2019-2020,0.293153982
European Union and United Kingdom,2021,medical_and_healthcare,870000000,Medical & Healthcare,8.939519252618618,High,Healthcare,2021-2023,0.87
European Union and United Kingdom,2022,medical_and_healthcare,1018492172,Medical & Healthcare,9.007957695417412,High,Healthcare,2021-2023,1.018492172
European Union and United Kingdom,2023,medical_and_healthcare,471326668,Medical & Healthcare,8.673322013147255,Medium,Healthcare,2021-2023,0.471326668
European Union and United Kingdom,2017,nlp__customer_support,88436753,NLP & Customer Support,7.946632788858398,Low,Technology,2017-2018,0.088436753
European Union and United Kingdom,2018,nlp__customer_support,183447253,NLP & Customer Support,8.263511212871068,Medium,Technology,2017-2018,0.183447253
European Union and United Kingdom,2019,nlp__customer_support,360363941,NLP & Customer Support,8.55674132778927,Medium,Technology,2019-2020,0.360363941
European Union and United Kingdom,2020,nlp__customer_support,502549683,NLP & Customer Support,8.701179003378368,High,Technology,2019-2020,0.502549683
European Union and United Kingdom,2021,nlp__customer_support,1870000000,NLP & Customer Support,9.2718416065365,High,Technology,2021-2023,1.87
